[05-Apr-2019 16:31:52 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 4
[05-Apr-2019 16:31:52 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 74
[05-Apr-2019 16:31:52 PRC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 7
[05-Apr-2019 16:31:52 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 83
[05-Apr-2019 16:31:52 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 83
[05-Apr-2019 16:31:52 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 86
[05-Apr-2019 16:31:52 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 86
[05-Apr-2019 16:31:52 PRC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 87
[05-Apr-2019 16:32:02 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 83
[05-Apr-2019 16:32:02 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 83
[05-Apr-2019 16:32:17 PRC] PHP Warning:  include(t_task_book.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 64
[05-Apr-2019 16:32:17 PRC] PHP Warning:  include(): Failed opening 't_task_book.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 64
[05-Apr-2019 16:33:47 PRC] PHP Warning:  include(t_task_book.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 64
[05-Apr-2019 16:33:47 PRC] PHP Warning:  include(): Failed opening 't_task_book.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 64
[05-Apr-2019 16:33:51 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\stu_func_control.php on line 4
